Nome;PosIni;PosFin;Size
Ano;1;4;4
Trimestre;5;5;1
UF;6;7;2
Capital;8;9;2
RM_RIDE;10;11;2
UPA;12;20;9
Estrato;21;27;7
V1008;28;29;2
V1014;30;31;2
V1016;32;32;1
V1022;33;33;1
V1023;34;34;1
V1027;35;49;15
V1028;50;64;15
V1029;65;73;9
posest;74;76;3
V2001;77;78;2
V2003;79;80;2
V2005;81;82;2
V2007;83;83;1
V2008;84;85;2
V20081;86;87;2
V20082;88;91;4
V2009;92;94;3
V2010;95;95;1
V3001;96;96;1
V3002;97;97;1
V3002A;98;98;1
V3003;99;100;2
V3003A;101;102;2
V3004;103;103;1
V3005;104;104;1
V3005A;105;105;1
V3006;106;107;2
V3006A;108;108;1
V3007;109;109;1
V3008;110;110;1
V3009;111;112;2
V3009A;113;114;2
V3010;115;115;1
V3011;116;116;1
V3011A;117;117;1
V3012;118;118;1
V3013;119;120;2
V3013A;121;121;1
V3013B;122;122;1
V3014;123;123;1
V4001;124;124;1
V4002;125;125;1
V4003;126;126;1
V4004;127;127;1
V4005;128;128;1
V4006;129;129;1
V4006A;130;130;1
V4007;131;131;1
V4008;132;132;1
V40081;133;134;2
V40082;135;136;2
V40083;137;138;2
V4009;139;139;1
V4010;140;143;4
V4012;144;144;1
V40121;145;145;1
V4013;146;150;5
V40132;151;151;1
V40132A;152;152;1
V4014;153;153;1
V4015;154;154;1
V40151;155;155;1
V401511;156;156;1
V401512;157;158;2
V4016;159;159;1
V40161;160;160;1
V40162;161;162;2
V40163;163;164;2
V4017;165;165;1
V40171;166;166;1
V401711;167;167;1
V4018;168;168;1
V40181;169;169;1
V40182;170;171;2
V40183;172;173;2
V4019;174;174;1
V4020;175;175;1
V4021;176;177;1
V4022;177;177;1
V4024;178;178;1
V4025;179;179;1
V4026;180;180;1
V4027;181;181;1
V4028;182;182;1
V4029;183;183;1
V4032;184;184;1
V4033;185;185;1
V40331;186;186;1
V403311;187;187;1
V403312;188;195;8
V40332;196;196;1
V403321;197;197;1
V403322;198;205;8
V40333;206;206;1
V403331;207;207;1
V4034;208;208;1
V40341;209;209;1
V403411;210;210;1
V403412;211;218;8
V40342;219;219;1
V403421;220;220;1
V403422;221;228;8
V4039;229;231;3
V4039C;232;234;3
V4040;235;235;1
V40401;236;237;2
V40402;238;239;2
V40403;240;241;2
V4041;242;245;4
V4043;246;246;1
V40431;247;247;1
V4044;248;252;5
V4045;253;253;1
V4046;254;254;1
V4047;255;255;1
V4048;256;256;1
V4049;257;257;1
V4050;258;258;1
V40501;259;259;1
V405011;260;260;1
V405012;261;268;8
V40502;269;269;1
V405021;270;270;1
V405022;271;278;8
V40503;279;279;1
V405031;280;280;1
V4051;281;281;1
V40511;282;282;1
V405111;283;283;1
V405112;284;291;8
V40512;292;292;1
V405121;293;293;1
V405122;294;301;8
V4056;302;304;3
V4056C;305;307;3
V4057;308;308;1
V4058;309;309;1
V40581;310;310;1
V405811;311;311;1
V405812;312;319;8
V40582;320;320;1
V405821;321;321;1
V405822;322;329;8
V40583;330;330;1
V405831;331;331;1
V40584;332;332;1
V4059;333;333;1
V40591;334;334;1
V405911;335;335;1
V405912;336;343;8
V40592;344;344;1
V405921;345;345;1
V405922;346;353;8
V4062;354;356;3
V4062C;357;359;3
V4063;360;360;1
V4063A;361;361;1
V4064;362;362;1
V4064A;363;363;1
V4071;364;364;1
V4072;365;366;2
V4072A;367;367;1
V4073;368;368;1
V4074;369;369;1
V4074A;370;371;2
V4075A;372;372;1
V4075A1;373;374;2
V4076;375;375;1
V40761;376;377;2
V40762;378;379;2
V40763;380;381;2
V4077;382;382;1
V4078;383;383;1
V4078A;384;384;1
V4082;385;385;1
VD2002;386;387;2
VD2003;388;389;2
VD2004;390;390;1
VD3001;391;391;1
VD3002;392;393;2
VD4001;394;394;1
VD4002;395;395;1
VD4003;396;396;1
VD4004;397;397;1
VD4004A;398;398;1
VD4005;399;399;1
VD4007;400;400;1
VD4008;401;401;1
VD4009;402;403;2
VD4010;404;405;2
VD4011;406;407;2
VD4012;408;408;1
VD4013;409;409;1
VD4014;410;410;1
VD4015;411;411;1
VD4016;412;419;8
VD4017;420;427;8
VD4018;428;428;1
VD4019;429;436;8
VD4020;437;444;8
VD4023;445;445;1
VD4030;446;446;1
VD4031;447;449;3
VD4032;450;452;3
VD4033;453;455;3
VD4034;456;458;3
VD4035;459;461;3
VD4036;462;462;1
VD4037;463;463;1